service,hour,day_of_week,is_weekend,queue_length,counters_open,wait_minutes
Bill Payment,12,4,0,15,3,16.95
Customer Support,14,5,1,56,2,183.27
General Enquiry,17,3,0,24,1,98.72
Document Verification,14,6,1,32,4,40.01
Customer Support,17,3,0,6,4,13.19
Document Verification,11,6,1,6,3,18.56
Customer Support,9,1,0,8,1,59.58
Account Services,12,0,0,12,4,23.45
Bill Payment,11,6,1,18,3,18.92
General Enquiry,12,3,0,15,1,51.25
Bill Payment,16,2,0,42,4,34.25
General Enquiry,12,2,0,25,1,115.82
Account Services,15,0,0,26,2,98.16
Bill Payment,13,2,0,17,3,15.93
Document Verification,11,1,0,12,4,22.29
Bill Payment,10,6,1,40,4,35.79
Bill Payment,10,6,1,63,2,93.89
General Enquiry,11,3,0,32,4,35.15
Document Verification,11,6,1,20,2,61.53
General Enquiry,16,5,1,34,1,150.93
Account Services,12,2,0,12,3,29.21
Account Services,10,3,0,50,2,217.24
Document Verification,16,1,0,19,2,60.75
Bill Payment,14,2,0,46,2,70.68
Account Services,16,3,0,42,4,77.07
Account Services,17,4,0,36,3,82.38
Account Services,14,0,0,12,1,86.65
Customer Support,15,4,0,38,4,66.95
Bill Payment,12,0,0,34,2,65.09
Document Verification,14,1,0,18,3,33.01
General Enquiry,17,4,0,30,1,123.31
Document Verification,11,6,1,19,1,102.01
Document Verification,13,6,1,41,2,139.94
Customer Support,16,5,1,39,3,99.73
Account Services,14,0,0,61,1,519.06
General Enquiry,13,6,1,20,3,24.1
General Enquiry,17,6,1,50,1,171.89
Document Verification,9,5,1,7,4,9.6
Bill Payment,17,4,0,35,3,45.34
Account Services,11,1,0,3,1,25.76
Bill Payment,13,0,0,27,3,32.68
Document Verification,10,3,0,7,4,7.95
Customer Support,13,1,0,33,2,103.02
Document Verification,11,0,0,42,2,147.05
Account Services,13,5,1,54,2,219.74
Account Services,17,4,0,22,1,150.86
Bill Payment,10,4,0,38,2,72.3
Document Verification,15,3,0,6,2,23.02
General Enquiry,11,3,0,19,1,70.16
Document Verification,10,0,0,67,4,107.65
Customer Support,12,1,0,31,4,50.3
Bill Payment,9,6,1,31,4,26.84
Account Services,15,5,1,9,3,32.08
Account Services,10,6,1,54,4,120.65
General Enquiry,14,4,0,17,4,16.85
Bill Payment,10,1,0,55,2,91.18
Customer Support,15,6,1,32,1,213.0
Document Verification,9,3,0,8,1,46.45
Customer Support,9,2,0,13,4,21.66
Account Services,16,3,0,4,3,10.71
Customer Support,9,3,0,45,3,103.74
Bill Payment,13,6,1,27,4,26.66
Document Verification,14,1,0,51,3,96.23
General Enquiry,10,3,0,64,4,75.19
Account Services,10,3,0,3,3,3.3
Bill Payment,9,2,0,63,4,58.49
General Enquiry,17,0,0,52,1,219.46
Bill Payment,14,0,0,49,2,81.15
Account Services,14,1,0,38,2,168.46
Bill Payment,13,4,0,55,4,49.89
General Enquiry,13,0,0,16,3,23.49
Account Services,10,3,0,6,3,18.83
Document Verification,12,6,1,15,4,20.46
Account Services,9,3,0,44,1,389.72
Document Verification,15,2,0,11,2,35.39
Account Services,10,4,0,25,1,232.96
Customer Support,11,4,0,11,2,45.62
Bill Payment,15,6,1,41,1,161.32
General Enquiry,15,0,0,10,4,10.67
Document Verification,17,5,1,42,1,248.46
Document Verification,15,2,0,13,3,29.39
Document Verification,16,5,1,4,3,8.45
Account Services,14,2,0,39,4,78.95
Bill Payment,12,2,0,16,3,19.58
Bill Payment,9,6,1,11,3,12.25
Account Services,14,6,1,3,2,12.51
Customer Support,17,4,0,27,1,191.14
Document Verification,17,5,1,36,2,120.85
Customer Support,17,6,1,49,1,337.75
Document Verification,17,5,1,9,1,60.98
General Enquiry,15,5,1,29,3,40.45
Bill Payment,11,5,1,15,3,16.88
Customer Support,15,3,0,4,3,9.2
Document Verification,10,1,0,3,3,4.95
Customer Support,15,2,0,10,2,32.88
Account Services,16,5,1,49,1,393.99
Customer Support,12,5,1,39,1,242.26
Account Services,11,6,1,27,4,61.35
General Enquiry,10,1,0,52,2,115.58
Customer Support,9,2,0,16,1,110.57
Customer Support,12,5,1,4,4,7.12
General Enquiry,13,3,0,49,4,49.53
Bill Payment,17,1,0,11,3,13.1
General Enquiry,16,4,0,18,4,19.48
Document Verification,14,4,0,31,2,78.72
General Enquiry,10,5,1,4,4,5.95
Account Services,15,1,0,28,2,117.02
Document Verification,15,6,1,35,1,198.97
General Enquiry,15,6,1,29,4,33.98
Customer Support,17,3,0,56,4,97.02
Document Verification,13,6,1,39,1,264.97
Document Verification,11,0,0,3,1,17.2
Customer Support,11,2,0,25,4,44.72
Bill Payment,9,2,0,14,4,12.61
Customer Support,9,4,0,28,1,175.4
Account Services,9,2,0,52,1,372.83
Document Verification,9,4,0,37,1,214.84
Account Services,14,1,0,28,3,75.7
Customer Support,17,3,0,52,2,179.67
Document Verification,10,1,0,68,4,116.92
Document Verification,12,0,0,11,3,19.43
Customer Support,17,5,1,32,2,103.66
Bill Payment,15,4,0,12,4,8.09
Customer Support,14,6,1,9,4,13.77
General Enquiry,13,4,0,36,1,124.18
General Enquiry,16,1,0,14,3,19.34
Document Verification,11,5,1,38,2,112.07
Bill Payment,13,3,0,61,3,72.52
General Enquiry,11,2,0,15,4,14.2
Account Services,15,2,0,3,2,16.72
General Enquiry,15,3,0,15,3,21.93
Document Verification,14,5,1,51,3,103.83
General Enquiry,10,5,1,73,4,73.28
Document Verification,15,4,0,10,4,13.05
Bill Payment,17,0,0,8,3,8.12
Customer Support,13,3,0,28,4,51.06
Document Verification,13,6,1,42,3,84.86
Bill Payment,12,6,1,22,3,23.25
General Enquiry,9,0,0,13,2,23.65
Account Services,14,6,1,26,3,78.9
Bill Payment,15,0,0,44,2,81.17
General Enquiry,13,4,0,25,2,49.21
Document Verification,11,5,1,11,3,20.72
Bill Payment,10,0,0,34,4,24.06
Customer Support,14,5,1,12,1,93.93
Bill Payment,9,5,1,17,4,16.92
General Enquiry,13,1,0,3,3,5.1
Document Verification,17,1,0,8,2,23.76
Bill Payment,17,5,1,13,1,41.38
Account Services,17,5,1,33,3,92.15
Document Verification,16,4,0,21,4,32.35
Customer Support,13,4,0,51,1,310.23
Bill Payment,17,3,0,40,4,38.16
General Enquiry,16,5,1,45,2,86.31
Customer Support,14,5,1,12,4,22.25
Customer Support,14,0,0,50,1,375.41
General Enquiry,10,6,1,37,1,135.96
Bill Payment,15,2,0,22,1,86.14
Customer Support,14,3,0,15,2,52.62
Account Services,12,4,0,22,1,197.17
General Enquiry,13,3,0,9,4,7.74
Customer Support,17,4,0,26,4,47.91
Bill Payment,9,4,0,49,2,91.11
General Enquiry,17,4,0,16,2,33.26
Account Services,9,1,0,49,1,428.43
Bill Payment,12,4,0,24,1,84.01
Document Verification,11,4,0,14,2,44.8
Customer Support,9,0,0,42,2,156.63
Customer Support,9,4,0,7,2,23.02
Document Verification,10,6,1,61,2,182.72
Account Services,10,2,0,30,2,106.23
General Enquiry,10,1,0,56,2,123.88
General Enquiry,11,2,0,9,1,39.74
Account Services,9,0,0,64,1,547.43
Customer Support,11,2,0,25,3,48.26
Account Services,11,0,0,38,2,172.07
Document Verification,10,2,0,45,4,68.87
Account Services,15,4,0,19,1,172.6
Customer Support,14,6,1,54,4,97.48
Customer Support,13,3,0,47,4,81.39
General Enquiry,16,0,0,33,3,45.43
Bill Payment,15,1,0,31,2,60.33
Customer Support,15,0,0,28,3,66.62
Bill Payment,9,5,1,12,4,12.26
Customer Support,16,0,0,8,3,23.87
Bill Payment,16,1,0,17,1,50.64
Customer Support,9,3,0,44,1,296.34
General Enquiry,16,6,1,41,2,85.13
Document Verification,12,3,0,14,3,29.25
Document Verification,11,4,0,16,1,99.74
General Enquiry,11,3,0,15,2,34.27
Document Verification,15,1,0,8,3,19.84
Bill Payment,10,5,1,44,1,132.8
General Enquiry,16,4,0,23,3,26.72
General Enquiry,16,4,0,14,1,54.62
Customer Support,12,1,0,33,3,64.3
General Enquiry,10,6,1,27,2,52.25
Bill Payment,15,2,0,37,1,125.98
Document Verification,17,5,1,6,4,5.61
Customer Support,15,6,1,27,2,104.56
Bill Payment,12,3,0,25,2,46.78
General Enquiry,11,2,0,5,2,7.55
Account Services,12,4,0,3,1,19.04
Customer Support,17,0,0,60,3,155.83
General Enquiry,11,3,0,22,2,45.82
Customer Support,10,1,0,41,1,302.41
Customer Support,10,4,0,24,1,176.32
General Enquiry,16,1,0,25,3,31.29
Bill Payment,13,2,0,35,2,53.75
Document Verification,15,6,1,26,1,170.26
Document Verification,12,6,1,15,1,88.55
General Enquiry,10,1,0,50,2,102.73
General Enquiry,17,5,1,49,3,69.06
Bill Payment,17,5,1,29,2,44.44
Bill Payment,14,4,0,20,1,61.17
Customer Support,14,1,0,40,3,107.26
Bill Payment,16,0,0,30,2,59.5
Document Verification,17,0,0,14,4,17.08
Customer Support,10,5,1,55,1,419.88
Account Services,17,5,1,25,1,217.47
Customer Support,9,3,0,21,3,47.28
Customer Support,10,2,0,47,4,72.84
Bill Payment,15,5,1,11,1,42.9
General Enquiry,11,0,0,37,2,70.21
General Enquiry,12,1,0,27,2,53.35
Customer Support,15,3,0,6,3,13.23
Account Services,15,2,0,19,3,57.8
Account Services,15,3,0,8,4,18.26
Customer Support,14,3,0,16,4,33.18
Document Verification,12,1,0,6,4,10.58
General Enquiry,9,1,0,59,4,59.86
Customer Support,9,4,0,9,2,30.26
Customer Support,11,4,0,9,3,22.63
Document Verification,14,2,0,25,1,153.86
Document Verification,11,4,0,10,1,49.89
Bill Payment,9,6,1,34,1,130.4
Bill Payment,10,5,1,18,2,25.32
Account Services,9,5,1,25,2,101.3
Account Services,10,1,0,59,2,201.73
Customer Support,16,3,0,41,2,146.94
Document Verification,9,6,1,50,2,153.41
Bill Payment,17,6,1,30,4,27.12
Customer Support,17,2,0,5,3,10.17
Account Services,15,6,1,20,3,46.81
Bill Payment,16,6,1,26,3,34.04
Customer Support,10,1,0,25,4,38.86
Document Verification,10,2,0,52,1,343.11
Document Verification,14,2,0,18,3,43.2
Document Verification,17,2,0,30,2,83.8
Account Services,13,4,0,7,2,26.54
Bill Payment,16,3,0,30,3,36.33
Customer Support,11,3,0,34,3,66.69
Document Verification,12,5,1,29,1,178.37
General Enquiry,13,3,0,17,1,74.72
General Enquiry,11,1,0,15,3,19.82
Bill Payment,12,3,0,16,2,27.09
Account Services,17,2,0,31,1,282.97
Bill Payment,11,1,0,23,2,43.4
Customer Support,9,1,0,40,4,77.48
Bill Payment,15,4,0,23,2,40.87
Document Verification,16,5,1,40,2,109.81
General Enquiry,15,1,0,4,1,10.39
General Enquiry,12,1,0,27,4,24.73
Account Services,17,4,0,22,3,55.19
Customer Support,10,4,0,28,4,50.84
Bill Payment,16,5,1,20,2,41.31
Bill Payment,17,4,0,22,3,26.93
Bill Payment,14,2,0,14,3,18.42
Bill Payment,15,5,1,15,3,16.29
General Enquiry,10,5,1,70,3,99.97
Bill Payment,14,0,0,73,2,132.59
Bill Payment,11,4,0,2,1,7.89
Bill Payment,15,5,1,15,4,13.74
Customer Support,14,3,0,13,3,28.04
General Enquiry,14,0,0,12,3,13.8
General Enquiry,15,6,1,34,1,136.7
Bill Payment,14,0,0,38,3,46.89
Customer Support,10,0,0,50,3,129.35
Document Verification,9,1,0,48,2,143.37
Bill Payment,9,0,0,44,4,37.51
Customer Support,10,0,0,64,3,153.62
Account Services,11,6,1,36,2,153.76
Account Services,10,0,0,66,4,117.79
Customer Support,14,2,0,22,4,41.97
Bill Payment,11,6,1,27,3,29.47
Account Services,11,4,0,22,1,179.36
General Enquiry,15,2,0,23,3,35.71
Bill Payment,17,6,1,9,4,7.16
Customer Support,9,2,0,33,3,76.51
Customer Support,17,0,0,11,4,14.42
Customer Support,16,3,0,16,1,130.38
Document Verification,14,5,1,59,3,130.9
Document Verification,16,6,1,39,2,120.57
Customer Support,16,0,0,34,4,58.34
Customer Support,16,0,0,37,2,132.6
Document Verification,14,3,0,26,1,170.61
General Enquiry,13,0,0,38,2,72.73
Customer Support,11,4,0,19,2,65.41
General Enquiry,12,4,0,30,4,27.48
Account Services,15,6,1,29,1,228.73
Document Verification,15,1,0,29,1,160.84
General Enquiry,9,2,0,42,3,47.04
Account Services,10,1,0,9,1,80.36
Account Services,10,1,0,37,4,81.95
Bill Payment,12,0,0,19,3,23.95
Document Verification,12,5,1,5,3,11.4
Account Services,17,2,0,29,3,67.09
Bill Payment,16,2,0,42,3,42.84
Account Services,12,4,0,12,1,114.07
Customer Support,11,3,0,27,2,78.88
Customer Support,16,2,0,34,1,202.82
General Enquiry,17,0,0,43,2,82.91
Document Verification,14,3,0,26,1,159.73
General Enquiry,15,0,0,13,2,20.54
Bill Payment,14,0,0,6,1,18.31
General Enquiry,12,4,0,38,3,41.57
Customer Support,16,2,0,5,3,15.9
Document Verification,14,0,0,42,1,223.75
Customer Support,14,0,0,34,4,53.46
General Enquiry,16,2,0,14,3,20.64
Document Verification,9,2,0,4,4,3.45
Customer Support,9,5,1,7,1,47.64
Account Services,12,4,0,32,2,135.97
Document Verification,11,4,0,14,1,73.01
Account Services,15,2,0,34,2,116.16
Account Services,10,0,0,76,2,328.07
General Enquiry,15,5,1,27,2,62.61
Account Services,13,3,0,16,1,122.17
Document Verification,14,1,0,20,2,57.36
Bill Payment,13,0,0,20,1,74.42
Bill Payment,10,0,0,40,1,149.03
Document Verification,15,1,0,33,1,200.11
Bill Payment,13,2,0,3,2,7.19
Bill Payment,17,6,1,3,1,10.97
Customer Support,15,5,1,14,1,105.41
Bill Payment,16,4,0,35,2,67.15
Bill Payment,11,4,0,8,1,25.04
Bill Payment,12,6,1,34,3,39.29
General Enquiry,15,6,1,27,4,26.78
Document Verification,12,2,0,18,1,99.52
Customer Support,17,1,0,44,1,335.35
Customer Support,16,6,1,53,2,196.37
Customer Support,10,6,1,42,3,90.09
Bill Payment,12,2,0,2,3,1.68
Bill Payment,14,1,0,51,2,88.81
Document Verification,9,2,0,36,4,43.65
General Enquiry,15,4,0,28,4,23.54
Bill Payment,10,6,1,39,4,34.69
Document Verification,12,5,1,4,3,7.8
Account Services,14,2,0,35,3,87.66
Customer Support,10,1,0,32,2,120.6
Document Verification,9,2,0,22,3,45.12
Bill Payment,15,6,1,7,4,5.16
Account Services,15,5,1,4,1,36.88
Account Services,17,3,0,21,1,145.05
General Enquiry,11,5,1,29,2,57.92
Document Verification,12,2,0,5,1,33.05
Account Services,17,2,0,36,4,70.88
Bill Payment,10,6,1,21,4,19.73
General Enquiry,17,3,0,17,2,31.27
Account Services,9,2,0,48,2,181.19
Document Verification,13,6,1,36,4,48.77
Document Verification,17,1,0,7,2,22.0
Account Services,15,2,0,11,4,28.62
Bill Payment,16,1,0,44,3,51.9
Account Services,11,1,0,10,3,28.03
Document Verification,12,5,1,21,1,130.85
Customer Support,15,2,0,14,4,25.45
Document Verification,10,3,0,32,2,96.35
Bill Payment,17,6,1,6,1,23.16
Bill Payment,9,1,0,19,1,76.9
Account Services,15,4,0,34,2,140.18
Document Verification,14,0,0,46,3,95.53
Document Verification,10,5,1,51,1,304.44
Customer Support,11,4,0,21,4,41.29
Customer Support,10,1,0,38,1,296.29
Bill Payment,11,5,1,10,3,12.14
Customer Support,17,4,0,10,2,35.81
Document Verification,17,3,0,46,3,78.9
General Enquiry,16,5,1,13,3,16.45
Account Services,16,4,0,49,2,217.09
Document Verification,16,1,0,27,4,39.05
Bill Payment,13,4,0,5,2,7.42
Customer Support,11,5,1,18,3,50.05
Customer Support,16,1,0,49,1,380.83
Bill Payment,13,1,0,11,1,42.81
Document Verification,10,2,0,4,3,5.82
Bill Payment,11,2,0,20,2,37.05
Bill Payment,10,3,0,42,2,67.07
Customer Support,14,2,0,60,2,199.57
Document Verification,15,2,0,31,1,204.52
Customer Support,10,2,0,28,4,49.09
Document Verification,15,0,0,41,1,233.89
Document Verification,12,3,0,6,1,37.84
Customer Support,10,1,0,45,1,323.5
General Enquiry,10,4,0,19,3,27.99
Account Services,9,2,0,50,2,227.35
Customer Support,16,0,0,22,4,45.89
General Enquiry,16,6,1,31,4,30.93
General Enquiry,10,4,0,7,2,13.85
General Enquiry,14,1,0,27,3,37.84
Customer Support,9,1,0,20,3,40.79
Customer Support,13,1,0,35,4,58.99
General Enquiry,15,4,0,4,3,2.71
Bill Payment,17,3,0,29,2,50.72
Customer Support,12,6,1,19,2,66.45
Document Verification,11,3,0,24,2,64.19
Account Services,10,6,1,28,4,55.05
Customer Support,13,2,0,38,4,64.35
Customer Support,17,2,0,9,4,17.07
Customer Support,14,3,0,27,3,63.89
Bill Payment,10,5,1,20,1,63.17
General Enquiry,10,4,0,59,2,102.1
Document Verification,15,4,0,21,2,55.61
General Enquiry,16,3,0,48,4,40.2
General Enquiry,15,0,0,7,3,8.26
Customer Support,13,0,0,43,1,338.42
Bill Payment,9,0,0,25,1,75.06
Customer Support,15,5,1,2,4,3.86
Document Verification,9,4,0,37,3,64.28
Bill Payment,11,6,1,38,3,48.46
Bill Payment,15,5,1,11,3,10.13
Bill Payment,9,0,0,62,1,248.1
Bill Payment,15,3,0,27,3,36.79
Customer Support,13,6,1,26,4,38.44
Account Services,10,1,0,50,3,112.91
Document Verification,13,3,0,5,1,26.72
Bill Payment,14,0,0,4,1,13.94
Account Services,13,4,0,15,3,38.85
General Enquiry,15,1,0,16,4,18.67
Document Verification,11,3,0,21,1,109.73
Document Verification,14,3,0,48,1,259.96
General Enquiry,15,4,0,17,1,67.62
Document Verification,16,3,0,32,4,38.02
Customer Support,13,0,0,61,1,402.43
Account Services,10,1,0,29,3,78.57
Document Verification,17,5,1,48,4,73.33
Account Services,10,1,0,55,2,252.56
Customer Support,12,0,0,3,1,20.31
Customer Support,11,1,0,9,2,30.35
Account Services,15,3,0,3,2,10.18
Bill Payment,13,2,0,19,1,72.11
Document Verification,11,6,1,22,1,124.56
Account Services,17,3,0,4,3,9.09
Document Verification,11,5,1,18,3,37.26
Account Services,16,0,0,28,3,62.52
Account Services,15,3,0,25,3,70.72
Bill Payment,17,2,0,18,4,16.26
General Enquiry,9,2,0,11,1,49.32
Document Verification,15,4,0,17,1,113.63
Bill Payment,9,2,0,39,4,37.27
Document Verification,10,5,1,10,1,52.36
Customer Support,14,3,0,39,1,284.25
General Enquiry,15,4,0,26,3,34.61
Account Services,16,6,1,25,4,52.0
Document Verification,15,6,1,18,1,103.45
Customer Support,17,0,0,59,4,98.2
General Enquiry,10,6,1,46,2,83.14
Customer Support,13,2,0,58,3,121.71
Document Verification,16,2,0,9,1,54.36
Account Services,15,6,1,40,1,365.82
General Enquiry,16,3,0,43,4,43.19
Account Services,11,5,1,46,1,416.16
Account Services,11,6,1,47,2,209.53
Customer Support,16,6,1,27,4,42.08
Account Services,9,1,0,16,1,116.16
Account Services,11,4,0,20,1,170.6
Account Services,15,3,0,3,4,2.89
Document Verification,14,3,0,49,4,82.49
General Enquiry,13,6,1,16,1,71.3
General Enquiry,12,4,0,21,1,71.73
Account Services,16,2,0,5,1,41.07
Customer Support,10,1,0,24,3,63.71
Account Services,10,2,0,4,3,10.63
General Enquiry,15,5,1,38,3,45.16
Account Services,14,0,0,4,2,17.6
Customer Support,14,0,0,67,4,116.25
Bill Payment,10,4,0,18,4,16.55
Account Services,17,6,1,53,1,397.06
Bill Payment,14,1,0,14,3,16.56
Account Services,12,0,0,30,2,107.31
Customer Support,12,0,0,11,1,74.47
Customer Support,16,2,0,34,4,62.94
Document Verification,9,3,0,41,2,137.92
General Enquiry,9,4,0,12,4,14.39
Customer Support,9,6,1,26,4,45.01
General Enquiry,12,5,1,3,3,1.56
Document Verification,15,2,0,9,3,18.58
Account Services,17,6,1,31,4,59.54
Account Services,14,2,0,26,2,97.29
Account Services,13,5,1,14,1,129.34
Bill Payment,11,0,0,25,3,32.44
General Enquiry,15,2,0,23,3,30.54
Document Verification,15,6,1,34,3,63.72
Account Services,12,4,0,26,3,70.75
General Enquiry,10,3,0,17,2,37.09
Document Verification,10,4,0,33,2,110.83
Account Services,13,1,0,14,4,31.01
Document Verification,11,1,0,8,2,25.36
General Enquiry,16,0,0,5,3,5.0
Bill Payment,16,1,0,49,2,94.13
Bill Payment,11,1,0,16,4,15.42
General Enquiry,16,6,1,49,4,46.84
Document Verification,11,3,0,17,4,29.73
Bill Payment,10,6,1,8,2,16.53
Account Services,11,0,0,14,4,27.28
Document Verification,15,3,0,29,2,88.38
Bill Payment,16,5,1,5,4,4.5
Document Verification,14,1,0,28,3,61.06
Customer Support,10,3,0,25,1,148.74
Bill Payment,15,0,0,26,3,28.75
Account Services,12,4,0,11,3,30.02
Account Services,10,6,1,30,3,75.12
Document Verification,12,1,0,3,3,12.31
Bill Payment,11,1,0,10,3,9.46
Customer Support,15,1,0,20,2,71.04
Account Services,14,0,0,23,2,89.86
Document Verification,15,5,1,34,3,59.77
Account Services,16,5,1,9,2,31.62
General Enquiry,14,6,1,18,3,26.27
Customer Support,16,1,0,50,1,370.97
Bill Payment,11,6,1,23,3,25.4
General Enquiry,15,0,0,44,3,55.53
Document Verification,11,4,0,31,4,45.92
Bill Payment,11,4,0,18,3,20.85
Document Verification,13,2,0,5,1,24.7
Account Services,16,2,0,12,3,31.88
Account Services,10,2,0,41,1,285.79
Document Verification,14,1,0,17,1,102.35
General Enquiry,14,2,0,50,4,57.35
Customer Support,10,2,0,38,4,67.64
General Enquiry,15,0,0,14,4,12.63
Account Services,11,0,0,16,3,44.89
Document Verification,17,2,0,33,1,222.79
General Enquiry,17,1,0,37,1,168.54
General Enquiry,15,4,0,9,4,10.85
Bill Payment,16,1,0,30,3,33.16
Bill Payment,17,4,0,20,1,61.15
Account Services,9,4,0,12,2,54.41
Document Verification,13,3,0,14,1,86.41
General Enquiry,9,2,0,5,1,19.83
Document Verification,16,2,0,46,1,304.43
General Enquiry,13,2,0,39,1,152.44
Document Verification,13,0,0,8,2,25.59
Account Services,12,4,0,34,3,99.55
Customer Support,10,5,1,63,1,414.65
General Enquiry,12,1,0,38,1,150.04
General Enquiry,14,3,0,20,3,28.8
Bill Payment,12,2,0,37,4,29.72
Bill Payment,12,0,0,6,4,4.73
General Enquiry,11,1,0,14,2,23.27
Bill Payment,16,5,1,4,1,13.84
General Enquiry,14,6,1,21,1,89.56
General Enquiry,10,0,0,4,4,1.45
General Enquiry,16,3,0,44,2,91.36
Customer Support,10,6,1,4,3,8.44
Customer Support,17,0,0,58,4,96.47
Account Services,11,3,0,25,3,61.68
Bill Payment,16,3,0,56,1,206.1
Account Services,9,5,1,4,2,14.08
Customer Support,15,1,0,7,3,12.94
Customer Support,11,4,0,3,1,24.49
Document Verification,9,1,0,46,4,64.33
Bill Payment,13,2,0,10,1,36.32
General Enquiry,13,1,0,24,1,109.02
Bill Payment,12,3,0,12,1,38.41
Document Verification,16,4,0,20,3,36.8
Account Services,12,4,0,20,3,64.77
General Enquiry,13,4,0,9,2,15.93
General Enquiry,15,5,1,5,1,19.4
Account Services,13,6,1,33,1,258.65
General Enquiry,11,6,1,10,2,19.17
Customer Support,17,2,0,11,4,17.94
Customer Support,13,5,1,3,3,7.13
Document Verification,10,1,0,28,1,149.51
Document Verification,17,5,1,32,1,177.26
Document Verification,9,5,1,40,4,61.01
Account Services,11,2,0,15,2,52.88
Bill Payment,10,3,0,52,2,81.0
Document Verification,14,5,1,31,4,45.44
Document Verification,14,1,0,54,3,98.4
Bill Payment,16,3,0,46,3,56.24
Bill Payment,9,4,0,69,1,225.62
Customer Support,14,5,1,64,1,479.74
Account Services,13,5,1,36,2,145.01
Customer Support,17,5,1,39,1,237.27
Bill Payment,11,1,0,33,2,55.79
Customer Support,13,3,0,15,4,22.64
Account Services,13,3,0,43,1,396.6
Account Services,15,3,0,15,2,61.75
Account Services,17,5,1,4,4,3.94
Document Verification,11,6,1,9,4,13.22
Customer Support,10,5,1,36,3,90.08
Bill Payment,15,5,1,24,1,91.32
Customer Support,10,3,0,27,3,53.79
Customer Support,14,6,1,32,4,56.23
Customer Support,11,3,0,29,4,56.93
Customer Support,12,6,1,17,4,20.96
Document Verification,10,4,0,58,2,177.82
General Enquiry,14,5,1,58,3,89.67
General Enquiry,17,1,0,52,2,90.54
Account Services,15,3,0,16,4,32.11
Document Verification,9,5,1,9,1,60.58
Customer Support,17,2,0,33,4,52.69
Customer Support,13,0,0,21,1,151.02
Account Services,17,2,0,25,2,107.41
Bill Payment,12,0,0,25,2,38.27
Account Services,12,0,0,14,1,111.74
Bill Payment,14,1,0,41,2,66.55
Account Services,13,4,0,5,2,26.59
Document Verification,16,2,0,6,1,32.78
Customer Support,15,0,0,43,1,335.48
Document Verification,17,1,0,28,3,62.17
General Enquiry,13,5,1,21,4,23.4
Bill Payment,12,2,0,15,2,21.5
Account Services,16,2,0,5,3,11.39
Account Services,12,6,1,40,2,163.23
General Enquiry,17,3,0,43,3,57.86
Bill Payment,14,6,1,49,1,166.57
Document Verification,10,5,1,5,1,26.58
Document Verification,17,6,1,6,4,7.71
Customer Support,15,4,0,31,3,72.11
Document Verification,14,2,0,11,2,31.85
Customer Support,10,4,0,28,2,95.05
Bill Payment,17,4,0,10,1,34.01
General Enquiry,14,3,0,14,1,55.69
Account Services,10,3,0,47,1,384.25
Customer Support,11,1,0,31,2,119.34
Bill Payment,13,2,0,45,3,49.05
Customer Support,11,3,0,24,2,84.67
Account Services,14,4,0,13,2,45.09
General Enquiry,11,4,0,34,2,60.05
Account Services,13,4,0,24,1,187.07
Customer Support,12,3,0,27,4,40.06
Customer Support,15,5,1,27,3,57.18
Bill Payment,17,1,0,42,3,52.67
Bill Payment,13,5,1,32,4,30.28
General Enquiry,9,5,1,60,3,73.43
Customer Support,9,5,1,67,1,516.89
Customer Support,14,2,0,8,3,18.15
General Enquiry,10,6,1,32,3,41.46
General Enquiry,10,2,0,50,4,41.03
Account Services,15,4,0,19,1,168.87
Account Services,10,3,0,47,3,129.61
Bill Payment,11,5,1,37,4,37.57
Bill Payment,9,5,1,46,3,57.57
Customer Support,15,4,0,18,1,109.83
Document Verification,15,6,1,3,3,6.35
Document Verification,17,3,0,38,2,126.63
General Enquiry,15,2,0,7,1,26.62
General Enquiry,13,3,0,23,4,19.72
Customer Support,13,3,0,31,4,41.44
Account Services,9,4,0,14,2,60.29
Document Verification,12,1,0,20,4,28.89
Bill Payment,15,3,0,27,1,97.87
Account Services,16,5,1,7,1,58.26
Document Verification,11,4,0,32,4,47.31
Account Services,10,4,0,50,1,432.68
Document Verification,16,2,0,38,2,102.64
Account Services,12,6,1,13,1,108.3
Customer Support,17,1,0,39,2,131.31
Document Verification,12,1,0,5,1,27.37
Account Services,10,2,0,64,3,189.82
General Enquiry,12,6,1,36,3,47.27
General Enquiry,11,4,0,29,4,26.89
Customer Support,15,4,0,10,2,28.57
Bill Payment,15,2,0,1,4,0.5
Account Services,17,3,0,52,2,216.91
Account Services,16,3,0,35,3,101.18
General Enquiry,15,6,1,12,4,11.71
Customer Support,16,3,0,44,2,139.47
Document Verification,14,2,0,26,1,183.35
Document Verification,14,5,1,15,4,29.48
Document Verification,15,1,0,3,1,15.37
Bill Payment,12,4,0,10,3,12.32
General Enquiry,14,6,1,17,4,16.56
General Enquiry,17,0,0,37,1,149.1
Document Verification,12,2,0,10,1,50.86
General Enquiry,9,2,0,64,2,145.95
Customer Support,15,0,0,22,4,40.28
Document Verification,17,4,0,31,4,45.84
Document Verification,15,6,1,32,3,61.31
Document Verification,10,4,0,5,1,26.78
Customer Support,10,3,0,7,4,10.73
Account Services,13,1,0,10,2,47.72
Bill Payment,12,4,0,23,1,73.93
Document Verification,11,3,0,5,1,29.48
Customer Support,17,3,0,10,3,20.16
Bill Payment,12,2,0,11,1,38.28
Document Verification,15,2,0,4,2,15.26
Document Verification,15,3,0,18,3,39.35
